rank,title,ratings,rating_num,meta
74,第六感,8.8,197047,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi.../1999 / 美国 / 剧情 悬疑 恐怖
75,心灵捕手,8.7,223560,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·.../1997 / 美国 / 剧情
76,大鱼,8.7,213790,导演: Tim Burton   主演: Ewan McGregor / Albert Finney / Billy Crudup/2003 / 美国 / 剧情 家庭 奇幻 冒险
77,阳光灿烂的日子,8.7,229192,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao/1994 / 中国大陆 香港 / 剧情
78,让子弹飞,8.7,548845,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F.../2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部
79,射雕英雄传之东成西就,8.7,232204,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri.../1993 / 香港 / 喜剧 古装
80,控方证人,9.5,51011,导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / .../1957 / 美国 / 剧情 犯罪 悬疑
81,阳光姐妹淘,8.8,225564,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy.../2011 / 韩国 / 剧情 喜剧
82,上帝之城,8.9,136597,导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea.../2002 / 巴西 法国 / 犯罪 剧情
83,大闹天宫,9.2,78585,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /.../1961(上集) / 1964(下集) / 1978(全本) / 2004(纪念版) / 中国大陆 / 动画 奇幻
84,春光乍泄,8.7,195560,导演: 王家卫   主演: 梁朝伟 / 张国荣 / 张震/1997 / 香港 日本 韩国 / 剧情 爱情 同性
85,重庆森林,8.6,263047,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K.../1994 / 香港 / 剧情 爱情
86,萤火虫之墓,8.7,175852,导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子/1988 / 日本 / 动画 剧情 战争
87,禁闭岛,8.6,301648,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / .../2010 / 美国 / 剧情 悬疑 惊悚
88,素媛,9.0,126262,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm .../2013 / 韩国 / 剧情 家庭
89,致命ID,8.6,264118,导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet/2003 / 美国 / 剧情 悬疑 惊悚
90,告白,8.6,285083,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 .../2010 / 日本 / 剧情 惊悚
91,甜蜜蜜,8.7,196195,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / .../1996 / 香港 / 剧情 爱情
92,一一,8.9,128476,导演: 杨德昌   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elaine Jin/2000 / 台湾 日本 / 剧情 爱情 家庭
93,爱在黎明破晓前,8.7,181603,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke .../1995 / 美国 奥地利 瑞士 / 剧情 爱情
94,加勒比海盗,8.5,283254,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / .../2003 / 美国 / 动作 冒险 奇幻
95,阿凡达,8.6,464383,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington .../2009 / 美国 英国 / 动作 冒险 奇幻 科幻
96,风之谷,8.8,149376,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 京田尚子 H.../1984 / 日本 / 科幻 动画 奇幻 冒险
97,爱在日落黄昏时,8.7,169183,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke .../2004 / 美国 / 剧情 爱情
98,驯龙高手,8.7,244200,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:.../2010 / 美国 / 喜剧 动画 奇幻 冒险 家庭
99,侧耳倾听,8.8,138709,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K.../1995 / 日本 / 剧情 爱情 动画 音乐
100,海洋,9.0,89170,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:.../2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片
101,燃情岁月,8.8,132864,导演: 爱德华·兹威克 Edward Zwick   主演: 安东尼·霍普金斯 Anthony Hopki.../1994 / 美国 / 剧情 爱情 西部 家庭
