rank,title,ratings,rating_num,meta
127,年华是无效信,7.6,38314,落落 / 春风文艺出版社 / 2005-2 / 20.00元
128,挪威的森林,8.4,35568,[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元
129,会有天使替我爱你,6.8,41394,明晓溪 / 新世界出版社 / 2005-5 / 20.00元
130,泡沫之夏,7.0,40218,明晓溪 / 新世界出版社 / 2006-3 / 20.00元
131,钢铁是怎样炼成的,7.6,38081,[苏] 尼·奥斯特洛夫斯基 / 曹缦西 / 译林出版社 / 1996-10 / 20.00元
132,小团圆,7.6,38146,张爱玲 / 北京十月文艺出版社 / 2009-4 / 28.00
133,月亮忘記了,8.5,34552,幾米 / 格林 / 2000-2-1 / NT$ 299
134,红玫瑰与白玫瑰,8.3,35235,张爱玲 / 花城出版社 / 1996-06 / 12.80元
135,岛上书店,7.7,37987,[美] 加布瑞埃拉·泽文 / 孙仲旭 / 江苏凤凰文艺出版社 / 2015-5 / CNY 35.00
136,在路上,7.8,36441,[美] 杰克·凯鲁亚克 / 王永年 / 上海译文出版社 / 2006-10 / 28.00元
137,呐喊,8.8,33441,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元
138,哭泣的骆驼,8.9,28645,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元
139,射雕英雄传（全四册）,8.9,30684,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元
140,此间的少年,8.4,33828,江南 / 华文出版社 / 2004-1 / 25.00元
141,货币战争,7.3,37482,宋鸿兵 编著 / 中信出版社 / 2007-6 / 38.00元
142,白鹿原,8.6,33137,陈忠实 / 人民文学出版社 / 1997年 / 28.00元
143,佳期如梦,8.0,34809,匪我思存 / 新世界出版社 / 2007-2 / 20.00元
144,一個人住第5年,8.4,33456,高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220
145,原来你还在这里,7.7,35603,辛夷坞 / 朝华出版社 / 2007-10 / 25.00元
146,告别薇安,7.5,36320,安妮宝贝 / 中国社会科学出版社 / 2000-1 / 19.00
147,明朝那些事儿（叁）,8.9,31795,当年明月 / 中国友谊出版公司 / 2007-4 / 24.80
148,鬼吹灯之精绝古城,8.1,34008,天下霸唱 / 安徽文艺出版社 / 2006 / 25.0
149,时间旅行者的妻子,8.1,34125,[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元
150,二三事,7.7,35056,安妮宝贝 / 南海出版公司 / 2004-1 / 20.00元
151,常识,8.1,33613,梁文道 / 广西师范大学出版社 / 2009-1 / 38.00
152,半生缘,8.6,31829,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元
153,步步惊心,8.1,32966,桐华 / 民族出版社 / 2006-6 / 25.00元
154,失恋33天,8.1,32867,鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元
155,兄弟（下）,7.5,34877,余华 / 上海文艺出版社 / 2006-3 / 27.00元
156,嫌疑人X的献身,9.0,29774,（日）东野圭吾 / 刘子倩 / 南海出版公司 / 2009年11月 / 19.80元
157,左手倒影，右手年华。,6.7,36770,郭敬明 / 上海译文出版社 / 2003-5 / 16.00元
158,零下一度,7.2,34862,韩寒 / 上海人民出版社 / 2000-08 / 12.00
159,无人生还,8.9,29616,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00
160,鹿鼎记（全五册）,8.8,26177,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元
161,明朝那些事儿（1-9）,9.1,28799,当年明月 / 中国海关出版社 / 2009-4 / 358.20元
162,像少年啦飞驰,7.3,34150,韩寒 / 作家出版社 / 2002-1 / 16.00元
163,左耳,7.1,34715,饶雪漫 / 当代世界出版社 / 2006-2 / 22.00元
164,盗墓笔记2,8.2,30968,南派三叔 / 中国友谊出版公司 / 2007-4 / 26.80元
165,孤独六讲,8.1,31368,蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元
166,明朝那些事儿（肆）,8.8,29331,当年明月 / 中国友谊出版公司 / 2007-9 / 24.80
167,荆棘鸟,8.6,29700,[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元
168,被窝是青春的坟墓,7.8,31840,七堇年 / 长江文艺出版社 / 2007-11 / 22.00元
169,机器猫哆啦A梦23,9.4,27457,藤子・F・不二雄 / 碧日 / 吉林美术出版社 / 1999-12-01 / 8.00
170,幻夜,7.6,32310,〔日〕东野圭吾 / 李炜 / 南海出版公司 / 2009年9月 / 28.00元
171,我们台湾这些年,7.4,32660,廖信忠 / 重庆出版集团 / 2009-11 / 29.80元
172,关于莉莉周的一切,7.7,31798,[日] 岩井俊二 / 张苓 / 天津人民出版社 / 2006-12 / 28.00元
173,偷影子的人,7.9,31083,(法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元
174,人间失格,8.3,30074,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元
175,寻路中国,9.0,28129,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元
176,了不起的盖茨比,8.3,29749,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元
177,爱你就像爱生命,8.8,28206,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元
178,大地之灯,8.2,29455,七堇年 / 长江文艺出版社 / 2007-1 / 22.00元
179,格林童话全集,8.9,27526,格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元
180,水仙已乘鲤鱼去,7.8,30216,张悦然 / 作家出版社 / 2005-1 / 19.00元
181,动物农场,9.2,26956,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元
182,麦琪的礼物,8.6,27942,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元
183,1Q84 BOOK 3,7.6,30092,[日] 村上春树 / 施小炜 / 南海出版公司 / 2011-1 / 39.50元
184,阿Q正传,8.6,27418,鲁迅 / 上海书店出版社 / 2003-7-1 / 14.50
185,明朝那些事儿（伍）,8.8,26749,当年明月 / 中国友谊出版公司 / 2008-3 / 28.80
186,盗墓笔记3,8.5,27590,南派三叔 / 中国友谊出版公司 / 2007-11 / 26.80元
187,历史深处的忧虑,9.0,26327,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元
188,小时代2.0虚铜时代,6.5,32701,郭敬明 / 长江文艺出版社 / 2010-1 / 26.80元
189,海贼王,9.5,24900,尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.5
190,尘埃落定,8.4,27201,阿来 / 人民文学出版社 / 1990-01-01 / 22.0
191,巴别塔之犬,7.7,28801,[美] 卡罗琳·帕克丝特 / 何致和 / 南海出版公司 / 2007-7 / 22.00元
192,你好，旧时光（上 下）,8.8,25765,八月长安 / 新世界出版社 / 2009-12 / 39.80元
193,东霓,8.2,27206,笛安 / 长江文艺出版社 / 2010-7-1 / 26.80元
194,橙,8.3,26773,安东尼 / 长江文艺出版社 / 2010-10 / 28.80元
195,乌合之众,8.4,27033,(法)古斯塔夫.勒庞 / 冯克利 / 中央编译出版社 / 1998-01 / 16.00元
